192.168.2.2 | 2014_01_17 01:13:17 | admin | ls
192.168.2.2 | 2014_01_17 01:13:18 | admin | pwd
192.168.2.2 | 2014_01_17 01:13:18 | admin | ls
192.168.2.2 | 2014_01_17 01:13:20 | admin | cd /t	
192.168.2.2 | 2014_01_17 01:13:20 | admin | ll
192.168.2.2 | 2014_01_17 01:13:24 | admin | trii
192.168.2.2 | 2014_01_17 01:13:49 | admin | exit
192.168.2.2 | 2014_01_17 01:13:56 | admin | ls
192.168.2.2 | 2014_01_17 01:13:59 | admin | ls
192.168.2.2 | 2014_01_17 01:14:00 | admin | pwd
192.168.2.2 | 2014_01_17 01:14:43 | admin | exit
192.168.2.2 | 2014_01_17 01:14:49 | admin | ls
192.168.2.2 | 2014_01_17 01:14:50 | admin | pwd
192.168.2.2 | 2014_01_17 01:16:03 | admin | exit
192.168.2.2 | 2014_01_17 01:16:10 | admin | ls
192.168.2.2 | 2014_01_17 01:16:11 | admin | pwd
192.168.2.2 | 2014_01_17 01:19:31 | admin | exit
192.168.2.2 | 2014_01_17 01:19:39 | admin | sls
192.168.2.2 | 2014_01_17 01:19:40 | admin | pwd
192.168.2.2 | 2014_01_17 01:19:40 | admin | ll
192.168.2.2 | 2014_01_17 01:19:42 | admin | ll te	
192.168.2.2 | 2014_01_17 01:21:36 | admin | [A
192.168.2.2 | 2014_01_17 01:21:37 | admin | [A
192.168.2.2 | 2014_01_17 01:22:01 | admin | sdf
192.168.2.2 | 2014_01_17 01:23:32 | admin | exit
192.168.2.2 | 2014_01_17 01:23:40 | admin | ls
192.168.2.2 | 2014_01_17 01:25:09 | admin | ls
192.168.2.2 | 2014_01_17 01:26:34 | admin | ls
192.168.2.2 | 2014_01_17 01:27:17 | admin | ls
